Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.064	0.6933333333333334	3281.25	6187.5
2	Spectrogram 1	1	0.13866666666666666	0.32	4101.5625	5320.3125
3	Spectrogram 1	1	0.16	0.2986666666666667	10125.0	10476.5625
4	Spectrogram 1	1	0.192	0.64	11578.125	13289.0625
5	Spectrogram 1	1	0.8426666666666667	0.992	4007.8125	4921.875
6	Spectrogram 1	1	0.9066666666666666	1.0346666666666666	12937.5	13359.375
7	Spectrogram 1	1	1.504	1.9093333333333333	3257.8125	3726.5625
8	Spectrogram 1	1	1.568	1.9093333333333333	11554.6875	12585.9375
9	Spectrogram 1	1	1.6746666666666667	2.208	4007.8125	5320.3125
10	Spectrogram 1	1	1.696	1.856	10101.5625	10523.4375
11	Spectrogram 1	1	2.037333333333333	2.1973333333333334	12750.0	13335.9375
12	Spectrogram 1	1	2.304	2.453333333333333	10101.5625	10500.0
13	Spectrogram 1	1	2.6453333333333333	2.8586666666666667	4359.375	5343.75
14	Spectrogram 1	1	2.6986666666666665	2.8266666666666667	10125.0	10546.875
15	Spectrogram 1	1	3.1146666666666665	3.8186666666666667	3234.375	5343.75
16	Spectrogram 1	1	3.2106666666666666	3.3493333333333335	11671.875	12585.9375
17	Spectrogram 1	1	3.488	3.68	12679.6875	13335.9375
18	Spectrogram 1	1	4.042666666666666	4.181333333333333	4921.875	5343.75
19	Spectrogram 1	1	4.213333333333333	4.832	3210.9375	6164.0625
20	Spectrogram 1	1	4.682666666666667	5.12	12632.8125	13359.375
21	Spectrogram 1	1	4.896	5.002666666666666	13734.375	14250.0
22	Spectrogram 1	1	5.44	5.728	3820.3125	5390.625
23	Spectrogram 1	1	5.482666666666667	5.610666666666667	11812.5	12375.0
24	Spectrogram 1	1	5.994666666666666	6.144	4921.875	5320.3125
25	Spectrogram 1	1	6.026666666666666	6.88	3210.9375	6164.0625
26	Spectrogram 1	1	6.1866666666666665	6.464	11578.125	13382.8125
27	Spectrogram 1	1	6.730666666666667	6.858666666666666	10125.0	10546.875
28	Spectrogram 1	1	7.082666666666666	7.232	4945.3125	5343.75
29	Spectrogram 1	1	7.370666666666667	8.16	3257.8125	6257.8125
30	Spectrogram 1	1	7.413333333333333	7.594666666666667	12585.9375	13265.625
31	Spectrogram 1	1	7.872	8.0	10125.0	10500.0
32	Spectrogram 1	1	8.0	8.170666666666667	11367.1875	12609.375
33	Spectrogram 1	1	8.597333333333333	8.853333333333333	4125.0	5718.75
34	Spectrogram 1	1	8.661333333333333	8.821333333333333	12585.9375	13242.1875
35	Spectrogram 1	1	8.928	9.226666666666667	4031.25	5390.625
36	Spectrogram 1	1	9.312	9.728	3257.8125	6234.375
37	Spectrogram 1	1	9.514666666666667	9.738666666666667	11390.625	12585.9375
38	Spectrogram 1	1	9.525333333333334	9.653333333333334	10101.5625	10523.4375
39	Spectrogram 1	1	9.888	10.037333333333333	10101.5625	10523.4375
40	Spectrogram 1	1	9.898666666666667	10.08	4148.4375	5695.3125
41	Spectrogram 1	1	9.930666666666667	10.08	12585.9375	13265.625
42	Spectrogram 1	1	10.24	10.485333333333333	4007.8125	5367.1875
43	Spectrogram 1	1	10.581333333333333	10.848	4195.3125	5320.3125
44	Spectrogram 1	1	10.677333333333333	10.837333333333333	10101.5625	10500.0
45	Spectrogram 1	1	10.912	11.104	12773.4375	13335.9375
46	Spectrogram 1	1	11.008	11.509333333333334	3164.0625	6257.8125
47	Spectrogram 1	1	11.050666666666666	13.077333333333334	10734.375	13687.5
48	Spectrogram 1	1	11.168	11.306666666666667	10101.5625	10546.875
49	Spectrogram 1	1	11.562666666666667	11.722666666666667	10101.5625	10546.875
50	Spectrogram 1	1	12.042666666666667	12.330666666666668	3820.3125	5343.75
51	Spectrogram 1	1	12.074666666666667	12.32	10078.125	10968.75
52	Spectrogram 1	1	12.576	12.725333333333333	10101.5625	10781.25
53	Spectrogram 1	1	12.597333333333333	13.44	3914.0625	6187.5
54	Spectrogram 1	1	12.789333333333333	13.034666666666666	3210.9375	3703.125
55	Spectrogram 1	1	12.938666666666666	13.066666666666666	10078.125	10500.0
56	Spectrogram 1	1	13.898666666666667	14.261333333333333	3843.75	5179.6875
57	Spectrogram 1	1	14.101333333333333	14.410666666666666	12750.0	13335.9375
58	Spectrogram 1	1	14.325333333333333	14.816	3210.9375	6234.375
59	Spectrogram 1	1	14.528	14.762666666666666	11601.5625	12632.8125
60	Spectrogram 1	1	14.997333333333334	15.221333333333334	4921.875	5320.3125
61	Spectrogram 1	1	15.050666666666666	15.210666666666667	9492.1875	11226.5625
62	Spectrogram 1	1	15.317333333333334	15.776	3867.1875	5320.3125
63	Spectrogram 1	1	15.338666666666667	15.52	12703.125	13265.625
64	Spectrogram 1	1	15.946666666666667	16.586666666666666	3210.9375	6257.8125
65	Spectrogram 1	1	16.096	16.309333333333335	11273.4375	12632.8125
66	Spectrogram 1	1	16.72533333333333	16.906666666666666	12656.25	13265.625
67	Spectrogram 1	1	16.72533333333333	16.906666666666666	4171.875	4851.5625
68	Spectrogram 1	1	17.056	17.248	4828.125	5320.3125
69	Spectrogram 1	1	17.397333333333332	17.792	3210.9375	6234.375
70	Spectrogram 1	1	17.44	17.664	11601.5625	12703.125
71	Spectrogram 1	1	17.664	17.813333333333333	1710.9375	2179.6875
72	Spectrogram 1	1	17.856	18.165333333333333	4125.0	5765.625
73	Spectrogram 1	1	17.930666666666667	18.090666666666667	12726.5625	13265.625
74	Spectrogram 1	1	18.624	19.14666666666667	3117.1875	6234.375
