Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.010666666666666666	0.16	3773.4375	4593.75
2	Spectrogram 1	1	0.010666666666666666	0.3626666666666667	1921.875	2437.5
3	Spectrogram 1	1	0.14933333333333335	0.7253333333333334	5109.375	5742.1875
4	Spectrogram 1	1	0.5653333333333334	0.9706666666666667	2578.125	2906.25
5	Spectrogram 1	1	0.5653333333333334	1.2053333333333334	1898.4375	2414.0625
6	Spectrogram 1	1	1.3013333333333332	1.9946666666666666	3351.5625	5460.9375
7	Spectrogram 1	1	1.5893333333333333	1.888	2039.0625	2765.625
8	Spectrogram 1	1	1.7173333333333334	1.984	10453.125	11812.5
9	Spectrogram 1	1	1.9626666666666666	2.656	890.625	2882.8125
10	Spectrogram 1	1	3.8186666666666667	3.9466666666666668	11179.6875	11789.0625
11	Spectrogram 1	1	4.181333333333333	4.373333333333333	2601.5625	2953.125
12	Spectrogram 1	1	4.266666666666667	4.554666666666667	3304.6875	5484.375
13	Spectrogram 1	1	4.330666666666667	4.533333333333333	10476.5625	11765.625
14	Spectrogram 1	1	5.312	5.610666666666667	3796.875	4570.3125
15	Spectrogram 1	1	6.112	6.250666666666667	11203.125	11625.0
16	Spectrogram 1	1	6.368	9.770666666666667	1617.1875	2953.125
17	Spectrogram 1	1	6.762666666666667	7.434666666666667	3328.125	5531.25
18	Spectrogram 1	1	7.1466666666666665	7.317333333333333	10781.25	11531.25
19	Spectrogram 1	1	7.989333333333334	8.864	375.0	1007.8125
20	Spectrogram 1	1	8.629333333333333	9.077333333333334	9304.6875	13851.5625
21	Spectrogram 1	1	8.629333333333333	9.728	3351.5625	5414.0625
22	Spectrogram 1	1	8.821333333333333	8.938666666666666	8062.5	9140.625
23	Spectrogram 1	1	9.461333333333334	9.696	10523.4375	11812.5
24	Spectrogram 1	1	9.472	9.642666666666667	8132.8125	8507.8125
25	Spectrogram 1	1	10.410666666666666	10.570666666666666	2601.5625	2906.25
26	Spectrogram 1	1	10.677333333333333	11.477333333333334	3375.0	4570.3125
27	Spectrogram 1	1	10.890666666666666	11.050666666666666	11179.6875	11835.9375
28	Spectrogram 1	1	10.954666666666666	11.221333333333334	1992.1875	2906.25
29	Spectrogram 1	1	11.392	11.573333333333334	2578.125	2906.25
30	Spectrogram 1	1	11.904	12.362666666666666	3304.6875	5671.875
31	Spectrogram 1	1	12.117333333333333	12.330666666666668	10453.125	11789.0625
32	Spectrogram 1	1	13.354666666666667	13.877333333333333	3351.5625	4734.375
33	Spectrogram 1	1	13.877333333333333	14.037333333333333	2203.125	2882.8125
34	Spectrogram 1	1	14.336	14.613333333333333	2531.25	2906.25
35	Spectrogram 1	1	14.634666666666666	15.701333333333332	3375.0	5015.625
36	Spectrogram 1	1	14.709333333333333	14.944	10476.5625	11601.5625
37	Spectrogram 1	1	14.794666666666666	15.082666666666666	2554.6875	2906.25
38	Spectrogram 1	1	15.018666666666666	15.125333333333334	8156.25	9984.375
39	Spectrogram 1	1	16.245333333333335	16.405333333333335	2601.5625	2929.6875
40	Spectrogram 1	1	16.586666666666666	17.962666666666667	3351.5625	5437.5
41	Spectrogram 1	1	16.704	17.034666666666666	2062.5	2812.5
42	Spectrogram 1	1	16.88533333333333	17.216	10546.875	11601.5625
43	Spectrogram 1	1	17.376	17.696	2085.9375	2671.875
44	Spectrogram 1	1	18.538666666666668	22.144	1664.0625	2812.5
45	Spectrogram 1	1	18.752	19.168	3398.4375	4500.0
46	Spectrogram 1	1	19.232	19.914666666666665	3351.5625	5039.0625
47	Spectrogram 1	1	19.338666666666665	19.541333333333334	5226.5625	5554.6875
