Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score	File
1	Spectrogram 1	1	1.2	3.199	200.0	2500.0	BOAN	0.92	SMA03126_20210611_200000.wav
2	Spectrogram 1	1	2.0	3.999	200.0	2500.0	BOAN	0.77	SMA03126_20210611_200000.wav
3	Spectrogram 1	1	8.8	10.799	200.0	2500.0	BOAN	0.92	SMA03126_20210611_200000.wav
4	Spectrogram 1	1	9.6	11.599	200.0	2500.0	BOAN	0.76	SMA03126_20210611_200000.wav
5	Spectrogram 1	1	12.8	14.799	200.0	2500.0	BOAN	0.77	SMA03126_20210611_200000.wav
6	Spectrogram 1	1	17.2	19.999	200.0	2500.0	BOAN	0.93	SMA03126_20210611_200000.wav
7	Spectrogram 1	1	25.2	27.599	200.0	2500.0	BOAN	0.76	SMA03126_20210611_200000.wav
8	Spectrogram 1	1	29.2	31.199	200.0	2500.0	BOAN	0.78	SMA03126_20210611_200000.wav
9	Spectrogram 1	1	35.2	37.599	200.0	2500.0	BOAN	0.9	SMA03126_20210611_200000.wav
10	Spectrogram 1	1	46.0	47.999	200.0	2500.0	BOAN	0.75	SMA03126_20210611_200000.wav
11	Spectrogram 1	1	46.8	48.799	200.0	2500.0	BOAN	0.93	SMA03126_20210611_200000.wav
12	Spectrogram 1	1	47.6	49.599	200.0	2500.0	BOAN	0.75	SMA03126_20210611_200000.wav
13	Spectrogram 1	1	49.2	52.399	200.0	2500.0	BOAN	0.92	SMA03126_20210611_200000.wav
14	Spectrogram 1	1	52.0	53.999	200.0	2500.0	BOAN	0.79	SMA03126_20210611_200000.wav
15	Spectrogram 1	1	55.2	57.199	200.0	2500.0	BOAN	0.92	SMA03126_20210611_200000.wav
1	Spectrogram 1	1	3.6	5.599000000000002	200.0	2500.0	BOAN	0.78	SMA03247_20210605_200000.wav
2	Spectrogram 1	1	8.0	9.998999999999995	200.0	2500.0	BOAN	0.79	SMA03247_20210605_200000.wav
3	Spectrogram 1	1	18.4	20.398999999999994	200.0	2500.0	BOAN	0.82	SMA03247_20210605_200000.wav
4	Spectrogram 1	1	20.4	23.19899999999999	200.0	2500.0	BOAN	0.88	SMA03247_20210605_200000.wav
5	Spectrogram 1	1	41.6	44.39900000000001	200.0	2500.0	BOAN	0.83	SMA03247_20210605_200000.wav
6	Spectrogram 1	1	45.6	47.59900000000001	200.0	2500.0	BOAN	0.87	SMA03247_20210605_200000.wav
7	Spectrogram 1	1	46.4	49.599	200.0	2500.0	BOAN	0.9	SMA03247_20210605_200000.wav
8	Spectrogram 1	1	48.8	50.79900000000001	200.0	2500.0	BOAN	0.8	SMA03247_20210605_200000.wav
9	Spectrogram 1	1	52.4	54.398999999999994	200.0	2500.0	BOAN	0.83	SMA03247_20210605_200000.wav
10	Spectrogram 1	1	54.4	57.19899999999999	200.0	2500.0	BOAN	0.96	SMA03247_20210605_200000.wav
11	Spectrogram 1	1	56.8	59.599000000000004	200.0	2500.0	BOAN	0.86	SMA03247_20210605_200000.wav
1	Spectrogram 1	1	8.4	10.799000000000001	200.0	2500.0	BOAN	0.85	SMA03330_20210603_191000.wav
2	Spectrogram 1	1	11.6	13.598999999999995	200.0	2500.0	BOAN	0.83	SMA03330_20210603_191000.wav
3	Spectrogram 1	1	15.2	17.199000000000023	200.0	2500.0	BOAN	0.82	SMA03330_20210603_191000.wav
4	Spectrogram 1	1	16.8	18.798999999999996	200.0	2500.0	BOAN	0.79	SMA03330_20210603_191000.wav
5	Spectrogram 1	1	22.4	24.398999999999994	200.0	2500.0	BOAN	0.75	SMA03330_20210603_191000.wav
6	Spectrogram 1	1	27.2	29.199000000000023	200.0	2500.0	BOAN	0.78	SMA03330_20210603_191000.wav
7	Spectrogram 1	1	30.4	32.799	200.0	2500.0	BOAN	0.79	SMA03330_20210603_191000.wav
8	Spectrogram 1	1	33.2	35.19900000000003	200.0	2500.0	BOAN	0.87	SMA03330_20210603_191000.wav
9	Spectrogram 1	1	34.8	36.79899999999999	200.0	2500.0	BOAN	0.77	SMA03330_20210603_191000.wav
10	Spectrogram 1	1	36.0	37.998999999999995	200.0	2500.0	BOAN	0.84	SMA03330_20210603_191000.wav
11	Spectrogram 1	1	38.0	39.998999999999995	200.0	2500.0	BOAN	0.77	SMA03330_20210603_191000.wav
12	Spectrogram 1	1	39.6	41.999	200.0	2500.0	BOAN	0.77	SMA03330_20210603_191000.wav
13	Spectrogram 1	1	45.6	47.599	200.0	2500.0	BOAN	0.84	SMA03330_20210603_191000.wav
