Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	0.4	2.3990000000000022	400.0	3100.0	DDPX	0.89
2	Spectrogram 1	1	8.0	9.998999999999995	400.0	3100.0	DDPX	0.88
3	Spectrogram 1	1	14.0	15.998999999999995	400.0	3100.0	DDPX	0.94
4	Spectrogram 1	1	20.0	22.799000000000007	400.0	3100.0	DDPX	0.96
5	Spectrogram 1	1	28.8	31.599000000000007	400.0	3100.0	DDPX	0.97
6	Spectrogram 1	1	42.0	43.999	400.0	3100.0	DDPX	0.77
7	Spectrogram 1	1	44.8	46.79900000000001	400.0	3100.0	DDPX	0.93
8	Spectrogram 1	1	45.6	47.59900000000001	400.0	3100.0	DDPX	0.91
9	Spectrogram 1	1	50.8	53.599	400.0	3100.0	DDPX	0.95
10	Spectrogram 1	1	55.6	57.59900000000001	400.0	3100.0	DDPX	0.91
11	Spectrogram 1	1	56.8	58.79900000000001	400.0	3100.0	DDPX	0.89
