Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	45.2	47.19899999999991	400.0	3100.0	DDPX	0.81
2	Spectrogram 1	1	13.6	15.599000000000023	400.0	3000.0	FUSC	0.76
3	Spectrogram 1	1	18.0	19.999000000000024	400.0	3000.0	FUSC	0.76
4	Spectrogram 1	1	46.8	48.79900000000002	400.0	3000.0	FUSC	0.78
5	Spectrogram 1	1	50.0	51.99900000000002	400.0	3000.0	FUSC	0.85
6	Spectrogram 1	1	3.2	5.599000000000001	200.0	1000.0	PTGN	0.98
7	Spectrogram 1	1	8.8	11.59899999999998	200.0	1000.0	PTGN	1.0
8	Spectrogram 1	1	10.8	13.59899999999998	200.0	1000.0	PTGN	1.0
9	Spectrogram 1	1	13.2	15.199000000000025	200.0	1000.0	PTGN	0.99
10	Spectrogram 1	1	15.2	17.199000000000023	200.0	1000.0	PTGN	0.77
11	Spectrogram 1	1	16.4	18.399000000000022	200.0	1000.0	PTGN	0.96
12	Spectrogram 1	1	18.4	21.199000000000037	200.0	1000.0	PTGN	0.99
13	Spectrogram 1	1	33.6	35.59899999999997	200.0	1000.0	PTGN	0.98
14	Spectrogram 1	1	34.8	37.199	200.0	1000.0	PTGN	1.0
15	Spectrogram 1	1	36.0	38.399	200.0	1000.0	PTGN	1.0
16	Spectrogram 1	1	37.6	39.59899999999997	200.0	1000.0	PTGN	0.99
17	Spectrogram 1	1	40.4	42.39900000000002	200.0	1000.0	PTGN	0.93
18	Spectrogram 1	1	41.2	44.399000000000015	200.0	1000.0	PTGN	0.99
19	Spectrogram 1	1	49.6	51.59899999999997	200.0	1000.0	PTGN	0.97
20	Spectrogram 1	1	53.2	55.19900000000003	200.0	1000.0	PTGN	1.0
21	Spectrogram 1	1	54.4	56.799	200.0	1000.0	PTGN	0.97
