Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Event
1	Spectrogram 1	1	3.232000000	4.917333333	16804.688	17250.000	16968.750	
2	Spectrogram 1	1	5.045333333	5.344000000	16664.062	17085.938	16968.750	
3	Spectrogram 1	1	5.589333333	6.144000000	16687.500	17109.375	16968.750	
4	Spectrogram 1	1	9.696000000	9.856000000	4125.000	4476.562	4218.750	
5	Spectrogram 1	1	10.912000000	11.082666667	4148.438	4453.125	4312.500	
6	Spectrogram 1	1	10.997333333	11.093333333	10476.562	11015.625	10968.750	
7	Spectrogram 1	1	12.906666667	13.152000000	1804.688	2296.875	2250.000	
8	Spectrogram 1	1	15.680000000	15.808000000	2015.625	2554.688	2250.000	
9	Spectrogram 1	1	15.861333333	16.085333333	4101.562	4500.000	4218.750	
10	Spectrogram 1	1	21.770666667	21.952000000	4125.000	4429.688	4125.000	
11	Spectrogram 1	1	30.197333333	30.421333333	1546.875	2367.188	2250.000	
12	Spectrogram 1	1	30.869333333	30.997333333	4078.125	4523.438	4218.750	
13	Spectrogram 1	1	41.013333333	41.920000000	16664.062	17273.438	17062.500	
14	Spectrogram 1	1	42.016000000	42.304000000	16828.125	17156.250	17062.500	
15	Spectrogram 1	1	42.464000000	42.869333333	16523.438	17179.688	16968.750	
16	Spectrogram 1	1	43.040000000	45.109333333	16804.688	17343.750	16968.750	
17	Spectrogram 1	1	43.904000000	44.085333333	23625.000	23976.562	23906.250	
18	Spectrogram 1	1	44.842666667	45.024000000	1781.250	2343.750	2250.000	
19	Spectrogram 1	1	46.432000000	46.560000000	12937.500	13382.812	12937.500	
20	Spectrogram 1	1	47.829333333	48.096000000	1710.938	2343.750	2250.000	
21	Spectrogram 1	1	48.000000000	48.160000000	13054.688	13500.000	13312.500	
22	Spectrogram 1	1	48.405333333	48.714666667	13031.250	13523.438	13218.750	
23	Spectrogram 1	1	48.928000000	49.397333333	12937.500	13593.750	12937.500	
24	Spectrogram 1	1	54.208000000	59.541333333	16453.125	17554.688	16875.000	
25	Spectrogram 1	1	56.405333333	56.629333333	15492.188	15843.750	15562.500	
26	Spectrogram 1	1	56.746666667	56.938666667	4125.000	4500.000	4125.000	
27	Spectrogram 1	1	57.045333333	57.248000000	15492.188	15820.312	15656.250	
28	Spectrogram 1	1	59.680000000	59.818666667	15375.000	15843.750	15375.000	
29	Spectrogram 1	1	59.690666667	59.989333333	16523.438	17296.875	16968.750	
