Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Event
1	Spectrogram 1	1	0.330666667	0.448000000	5812.500	6304.688	6187.500	
2	Spectrogram 1	1	1.088000000	1.536000000	3609.375	4617.188	4218.750	
3	Spectrogram 1	1	2.026666667	2.741333333	3632.812	4593.750	4031.250	
4	Spectrogram 1	1	2.986666667	3.434666667	3609.375	5039.062	4968.750	
5	Spectrogram 1	1	3.210666667	3.360000000	5812.500	6210.938	6187.500	
6	Spectrogram 1	1	3.808000000	4.256000000	3609.375	4687.500	4031.250	
7	Spectrogram 1	1	4.714666667	5.152000000	3562.500	5039.062	4031.250	
8	Spectrogram 1	1	4.874666667	5.088000000	5835.938	6210.938	6093.750	
9	Spectrogram 1	1	5.685333333	6.080000000	3632.812	4687.500	4125.000	
10	Spectrogram 1	1	6.538666667	7.221333333	3609.375	5039.062	4125.000	
11	Spectrogram 1	1	6.784000000	6.922666667	5812.500	6187.500	6093.750	
12	Spectrogram 1	1	7.616000000	8.085333333	3609.375	4710.938	4031.250	
13	Spectrogram 1	1	7.861333333	8.000000000	5835.938	6257.812	6187.500	
14	Spectrogram 1	1	8.768000000	9.088000000	2460.938	2765.625	2625.000	
15	Spectrogram 1	1	9.440000000	9.930666667	3609.375	5039.062	4968.750	
16	Spectrogram 1	1	10.464000000	10.677333333	5859.375	6281.250	6281.250	
17	Spectrogram 1	1	11.328000000	11.754666667	3609.375	4593.750	4031.250	
18	Spectrogram 1	1	11.509333333	11.680000000	5812.500	6281.250	6281.250	
19	Spectrogram 1	1	12.234666667	12.768000000	3585.938	5062.500	4125.000	
20	Spectrogram 1	1	13.194666667	13.642666667	3609.375	5015.625	4968.750	
21	Spectrogram 1	1	14.069333333	14.464000000	3585.938	5039.062	4968.750	
22	Spectrogram 1	1	14.229333333	14.400000000	5812.500	6140.625	6093.750	
23	Spectrogram 1	1	14.869333333	15.349333333	3585.938	5039.062	4125.000	
24	Spectrogram 1	1	15.157333333	15.296000000	5718.750	6257.812	5906.250	
25	Spectrogram 1	1	15.882666667	16.298666667	3609.375	5039.062	4968.750	
26	Spectrogram 1	1	16.064000000	16.224000000	5812.500	6281.250	6281.250	
27	Spectrogram 1	1	16.714666667	17.237333333	3609.375	5039.062	4125.000	
28	Spectrogram 1	1	17.738666667	18.186666667	3609.375	5062.500	4968.750	
29	Spectrogram 1	1	17.973333333	18.112000000	5812.500	6187.500	6093.750	
30	Spectrogram 1	1	18.645333333	19.264000000	3609.375	4687.500	4031.250	
31	Spectrogram 1	1	19.413333333	20.320000000	2296.875	2859.375	2812.500	
32	Spectrogram 1	1	19.648000000	20.096000000	3585.938	5015.625	4968.750	
33	Spectrogram 1	1	19.786666667	19.989333333	1335.938	1781.250	1593.750	
34	Spectrogram 1	1	19.882666667	20.021333333	5812.500	6187.500	6093.750	
35	Spectrogram 1	1	20.490666667	20.736000000	1312.500	1734.375	1500.000	
36	Spectrogram 1	1	20.757333333	21.194666667	3562.500	4687.500	4031.250	
37	Spectrogram 1	1	21.557333333	21.845333333	1125.000	1804.688	1312.500	
38	Spectrogram 1	1	21.728000000	22.186666667	3562.500	4734.375	4125.000	
39	Spectrogram 1	1	21.952000000	22.112000000	5789.062	6281.250	6281.250	
40	Spectrogram 1	1	22.229333333	22.549333333	1054.688	1757.812	1312.500	
41	Spectrogram 1	1	22.656000000	23.285333333	3585.938	4757.812	4031.250	
42	Spectrogram 1	1	22.784000000	23.061333333	1054.688	1828.125	1312.500	
43	Spectrogram 1	1	23.328000000	23.530666667	1007.812	1851.562	1312.500	
44	Spectrogram 1	1	23.776000000	24.213333333	3609.375	5039.062	4968.750	
45	Spectrogram 1	1	23.882666667	24.106666667	1031.250	1828.125	1312.500	
46	Spectrogram 1	1	24.032000000	24.138666667	5812.500	6304.688	6281.250	
47	Spectrogram 1	1	24.448000000	24.693333333	1148.438	1804.688	1312.500	
48	Spectrogram 1	1	24.618666667	25.248000000	3585.938	4617.188	4031.250	
49	Spectrogram 1	1	25.013333333	25.301333333	773.438	1828.125	1312.500	
50	Spectrogram 1	1	25.546666667	26.005333333	3609.375	5039.062	4968.750	
51	Spectrogram 1	1	25.664000000	25.813333333	960.938	1734.375	1312.500	
52	Spectrogram 1	1	26.304000000	26.421333333	1054.688	1734.375	1312.500	
53	Spectrogram 1	1	26.368000000	26.890666667	3585.938	5015.625	4968.750	
54	Spectrogram 1	1	27.285333333	27.754666667	3585.938	5039.062	4125.000	
55	Spectrogram 1	1	28.213333333	28.682666667	3585.938	5015.625	4968.750	
56	Spectrogram 1	1	29.088000000	29.834666667	2296.875	2742.188	2625.000	
57	Spectrogram 1	1	29.152000000	29.610666667	3585.938	4687.500	4031.250	
58	Spectrogram 1	1	30.026666667	30.485333333	3585.938	5039.062	4968.750	
59	Spectrogram 1	1	30.261333333	30.421333333	5812.500	6304.688	6281.250	
60	Spectrogram 1	1	30.965333333	31.616000000	3609.375	5015.625	4125.000	
61	Spectrogram 1	1	31.168000000	31.338666667	5835.938	6187.500	6093.750	
62	Spectrogram 1	1	31.936000000	32.384000000	3609.375	4617.188	4125.000	
63	Spectrogram 1	1	32.736000000	33.216000000	3585.938	5039.062	4968.750	
64	Spectrogram 1	1	32.992000000	33.141333333	5812.500	6328.125	6000.000	
65	Spectrogram 1	1	33.557333333	34.122666667	3585.938	5015.625	4125.000	
66	Spectrogram 1	1	33.824000000	33.984000000	5789.062	6257.812	6000.000	
67	Spectrogram 1	1	34.538666667	34.976000000	3609.375	5039.062	4968.750	
68	Spectrogram 1	1	35.434666667	35.968000000	3585.938	5039.062	4125.000	
69	Spectrogram 1	1	35.701333333	35.840000000	5765.625	6281.250	6281.250	
70	Spectrogram 1	1	36.394666667	36.885333333	3632.812	4710.938	4125.000	
71	Spectrogram 1	1	36.608000000	36.810666667	5835.938	6304.688	6281.250	
72	Spectrogram 1	1	37.386666667	37.973333333	3609.375	5015.625	4031.250	
73	Spectrogram 1	1	37.856000000	38.048000000	9421.875	9773.438	9468.750	
74	Spectrogram 1	1	38.410666667	38.880000000	3609.375	5039.062	4968.750	
75	Spectrogram 1	1	38.645333333	38.816000000	5835.938	6304.688	6281.250	
76	Spectrogram 1	1	39.306666667	40.042666667	3632.812	5039.062	4031.250	
77	Spectrogram 1	1	39.456000000	39.616000000	9445.312	9773.438	9656.250	
78	Spectrogram 1	1	40.714666667	41.120000000	3632.812	5039.062	4968.750	
79	Spectrogram 1	1	40.832000000	41.056000000	5859.375	6281.250	6281.250	
80	Spectrogram 1	1	41.568000000	42.026666667	3656.250	4617.188	4125.000	
81	Spectrogram 1	1	42.464000000	42.912000000	3609.375	5039.062	4968.750	
82	Spectrogram 1	1	43.360000000	43.818666667	3585.938	5039.062	4968.750	
83	Spectrogram 1	1	44.704000000	45.109333333	3585.938	5039.062	4968.750	
84	Spectrogram 1	1	44.885333333	45.034666667	5812.500	6257.812	6187.500	
85	Spectrogram 1	1	45.546666667	46.026666667	3585.938	5015.625	4968.750	
86	Spectrogram 1	1	45.781333333	45.941333333	5835.938	6281.250	6281.250	
87	Spectrogram 1	1	46.538666667	46.976000000	3562.500	5015.625	4968.750	
88	Spectrogram 1	1	46.762666667	46.912000000	5812.500	6351.562	6281.250	
89	Spectrogram 1	1	47.456000000	47.957333333	3585.938	5015.625	4968.750	
90	Spectrogram 1	1	48.341333333	48.832000000	3609.375	5039.062	4968.750	
91	Spectrogram 1	1	48.618666667	48.746666667	5835.938	6304.688	6281.250	
92	Spectrogram 1	1	49.845333333	50.282666667	3585.938	4617.188	4125.000	
93	Spectrogram 1	1	50.848000000	51.338666667	3562.500	4710.938	4125.000	
94	Spectrogram 1	1	51.061333333	51.253333333	5835.938	6281.250	6281.250	
95	Spectrogram 1	1	51.872000000	52.288000000	3609.375	5039.062	4968.750	
96	Spectrogram 1	1	52.864000000	53.301333333	3585.938	5039.062	4968.750	
97	Spectrogram 1	1	53.066666667	53.248000000	5765.625	6328.125	6281.250	
98	Spectrogram 1	1	54.080000000	54.517333333	3585.938	5039.062	4968.750	
99	Spectrogram 1	1	54.986666667	55.445333333	3585.938	4687.500	4125.000	
100	Spectrogram 1	1	55.978666667	56.384000000	3585.938	4617.188	4218.750	
101	Spectrogram 1	1	56.906666667	57.376000000	3609.375	5039.062	4968.750	
102	Spectrogram 1	1	57.141333333	57.301333333	5835.938	6257.812	6093.750	
103	Spectrogram 1	1	57.888000000	58.432000000	3585.938	5039.062	4125.000	
104	Spectrogram 1	1	58.912000000	59.424000000	3562.500	5039.062	4968.750	
