Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Fmin	Fmax	Specie ID
1	Spectrogram 1	1	0.08126984126984127	0.3250793650793651	4457.373046875	4823.4375	21.51219512195122	22050	Hyloxalus
2	Spectrogram 1	1	0.5340589569160997	0.893968253968254	3682.177734375	7170.556640625	21.51219512195122	22050	Llamado ave 2
3	Spectrogram 1	1	1.1261678004535147	1.4280272108843537	4306.640625	4888.037109375	21.51219512195122	22050	Hyloxalus
4	Spectrogram 1	1	1.6718367346938776	3.1579138321995464	4005.17578125	8957.8125	21.51219512195122	22050	noise
5	Spectrogram 1	1	2.0317460317460316	2.1710657596371883	3682.177734375	4435.83984375	21.51219512195122	22050	noise
6	Spectrogram 1	1	2.4961451247165534	2.6354648526077096	3057.71484375	3832.91015625	21.51219512195122	22050	noise
7	Spectrogram 1	1	2.8328344671201813	3.111473922902494	4392.7734375	4888.037109375	21.51219512195122	22050	Hyloxalus
8	Spectrogram 1	1	3.2275736961451247	3.4713832199546486	7385.888671875	8807.080078125	21.51219512195122	22050	noise
9	Spectrogram 1	1	3.297233560090703	3.633922902494331	4306.640625	4952.63671875	21.51219512195122	22050	Hyloxalus
10	Spectrogram 1	1	3.8080725623582765	4.620770975056689	4392.7734375	4909.5703125	21.51219512195122	22050	noise
11	Spectrogram 1	1	4.818140589569161	5.154829931972789	4414.306640625	4909.5703125	21.51219512195122	22050	Hyloxalus
12	Spectrogram 1	1	5.270929705215419	5.5495691609977325	4328.173828125	5081.8359375	21.51219512195122	22050	Hyloxalus
13	Spectrogram 1	1	5.421859410430839	5.572789115646258	3466.845703125	3875.9765625	21.51219512195122	22050	noise
14	Spectrogram 1	1	5.758548752834467	6.048798185941043	4392.7734375	4888.037109375	21.51219512195122	22050	Hyloxalus
15	Spectrogram 1	1	6.2693877551020405	7.1053061224489795	4069.775390625	5211.03515625	21.51219512195122	22050	noise
16	Spectrogram 1	1	6.478367346938776	6.768616780045352	3574.51171875	3854.443359375	21.51219512195122	22050	noise
17	Spectrogram 1	1	7.267845804988662	7.63936507936508	4285.107421875	4909.5703125	21.51219512195122	22050	Hyloxalus
18	Spectrogram 1	1	7.767074829931973	8.092154195011338	4371.240234375	4866.50390625	21.51219512195122	22050	Hyloxalus
19	Spectrogram 1	1	8.324353741496598	8.695873015873016	4285.107421875	7278.22265625	21.51219512195122	22050	Llamado ave 2
20	Spectrogram 1	1	8.800362811791382	9.206712018140589	4478.90625	4909.5703125	21.51219512195122	22050	noise
21	Spectrogram 1	1	9.253151927437642	9.58984126984127	4349.70703125	5060.302734375	21.51219512195122	22050	noise
