File	Selection	View	Channel	Specie ID	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Original Index	review	type	Reason	offset
SMA03126_20210323_050000.wav	1	Spectrogram 1	1	Leptodactylus_fuscus	55.2	57.19900000000003	55.2	3000	1093	0			0
SMA03126_20210323_050000.wav	2	Spectrogram 1	1	Leptodactylus_fuscus	8.8	10.799000000000024	8.8	3000	1089	0			0
SMA03126_20210323_050000.wav	3	Spectrogram 1	1	Leptodactylus_fuscus	0.0	2.3989999999998872	0.0	3000	1088	0			0
SMA03126_20210323_050000.wav	4	Spectrogram 1	1	Leptodactylus_fuscus	50.4	52.398999999999795	50.4	3000	1092	0			0
SMA03126_20210323_050000.wav	5	Spectrogram 1	1	Leptodactylus_fuscus	36.8	38.79900000000002	36.8	3000	1091	0			0
SMA03126_20210323_050000.wav	6	Spectrogram 1	1	Leptodactylus_fuscus	34.8	36.79900000000002	34.8	3000	1090	0			0
SMA03126_20210323_051000.wav	7	Spectrogram 1	1	Leptodactylus_fuscus	102.0	104.39899999999989	42.0	3000	1068	0			60
SMA03126_20210323_051000.wav	8	Spectrogram 1	1	Leptodactylus_fuscus	82.8	85.19900000000011	22.8	3000	1067	0			60
SMA03126_20210323_051000.wav	9	Spectrogram 1	1	Leptodactylus_fuscus	71.2	73.19900000000003	11.2	3000	1066	0			60
SMA03126_20210323_195000.wav	10	Spectrogram 1	1	Leptodactylus_fuscus	173.6	175.9990000000001	53.6	3000	989	0			120
SMA03126_20210323_195000.wav	11	Spectrogram 1	1	Leptodactylus_fuscus	149.2	151.199	29.2	3000	988	0			120
SMA03126_20210323_195000.wav	12	Spectrogram 1	1	Leptodactylus_fuscus	131.6	133.59900000000002	11.6	3000	987	0			120
SMA03126_20210323_195000.wav	13	Spectrogram 1	1	Leptodactylus_fuscus	129.2	131.199	9.2	3000	986	0			120
SMA03126_20210323_200000.wav	14	Spectrogram 1	1	Leptodactylus_fuscus	190.8	192.79900000000004	10.8	3000	1045	0			180
SMA03126_20210323_200000.wav	15	Spectrogram 1	1	Leptodactylus_fuscus	187.6	189.59900000000002	7.6	3000	1044	0			180
SMA03126_20210323_200000.wav	16	Spectrogram 1	1	Leptodactylus_fuscus	237.6	239.9990000000001	57.6	3000	1055	0			180
SMA03126_20210323_200000.wav	17	Spectrogram 1	1	Leptodactylus_fuscus	217.6	219.59900000000002	37.6	3000	1053	0			180
SMA03126_20210323_200000.wav	18	Spectrogram 1	1	Leptodactylus_fuscus	184.0	185.99900000000002	4.0	3000	1043	0			180
SMA03126_20210323_200000.wav	19	Spectrogram 1	1	Leptodactylus_fuscus	212.4	214.3989999999998	32.4	3000	1051	0			180
SMA03126_20210323_200000.wav	20	Spectrogram 1	1	Leptodactylus_fuscus	211.2	213.199	31.2	3000	1050	0			180
SMA03126_20210323_200000.wav	21	Spectrogram 1	1	Leptodactylus_fuscus	199.6	201.9990000000001	19.6	3000	1049	0			180
