Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File	Specie ID	Original Index	review	type	Reason	offset
480	Spectrogram 1	1	2739.200000000	2742.399000000	39.200	3000.000	SMA03251_20210610_192000.wav	Leptodactylus_fuscus	1161	1	FP		2700
157	Spectrogram 1	1	1058.400000000	1061.199000000	38.400	1000.000	SMA03210_20210321_171000.wav	Patagioenas_cayennensis	1199	1	FP		1020
160	Spectrogram 1	1	1042.000000000	1044.799000000	22.000	1000.000	SMA03210_20210321_171000.wav	Patagioenas_cayennensis	1196	1	FP		1020
162	Spectrogram 1	1	1034.000000000	1038.399000000	14.000	1000.000	SMA03210_20210321_171000.wav	Patagioenas_cayennensis	1194	1	FP		1020
237	Spectrogram 1	1	1350.000000000	1351.999000000	30.000	7200.000	SMA03247_20210323_050000.wav	Dendropsophus_microcephalus	439	1	FP		1320
241	Spectrogram 1	1	1337.200000000	1339.199000000	17.200	7200.000	SMA03247_20210323_050000.wav	Dendropsophus_microcephalus	436	1	FP		1320
252	Spectrogram 1	1	1467.200000000	1469.599000000	27.200	1300.000	SMA03247_20210325_054000.wav	Alouatta_sp	1177	1	FP		1440
405	Spectrogram 1	1	2304.000000000	2306.399000000	24.000	3000.000	SMA03251_20210604_192000.wav	Leptodactylus_fuscus	994	1	FP		2280
407	Spectrogram 1	1	2320.400000000	2322.399000000	40.400	3000.000	SMA03251_20210604_192000.wav	Leptodactylus_fuscus	996	1	FP		2280
409	Spectrogram 1	1	2332.800000000	2334.799000000	52.800	3000.000	SMA03251_20210604_192000.wav	Leptodactylus_fuscus	998	1	FP		2280
419	Spectrogram 1	1	2342.400000000	2344.399000000	2.400	3000.000	SMA03251_20210604_200000.wav	Leptodactylus_fuscus	975	1	FP		2340
482	Spectrogram 1	1	2753.600000000	2755.599000000	53.600	3000.000	SMA03251_20210610_192000.wav	Leptodactylus_fuscus	1166	1	FP		2700
484	Spectrogram 1	1	2705.600000000	2709.199000000	5.600	3000.000	SMA03251_20210610_192000.wav	Leptodactylus_fuscus	1154	1	FP		2700
485	Spectrogram 1	1	2709.200000000	2711.199000000	9.200	3000.000	SMA03251_20210610_192000.wav	Leptodactylus_fuscus	1155	1	FP		2700
489	Spectrogram 1	1	2744.000000000	2745.999000000	44.000	3000.000	SMA03251_20210610_192000.wav	Leptodactylus_fuscus	1163	1	FP		2700
628	Spectrogram 1	1	3394.800000000	3396.799000000	34.800	3000.000	SMA03294_20210328_183000.wav	Leptodactylus_fuscus	883	1	FP		3360
632	Spectrogram 1	1	3409.200000000	3411.999000000	49.200	3000.000	SMA03294_20210328_183000.wav	Leptodactylus_fuscus	887	1	FP		3360
633	Spectrogram 1	1	3416.000000000	3417.999000000	56.000	3000.000	SMA03294_20210328_183000.wav	Leptodactylus_fuscus	888	1	FP		3360
634	Spectrogram 1	1	3416.800000000	3419.199000000	56.800	3000.000	SMA03294_20210328_183000.wav	Leptodactylus_fuscus	889	1	FP		3360
701	Spectrogram 1	1	3872.000000000	3874.799000000	32.000	1000.000	SMA03297_20210605_073000.wav	Patagioenas_cayennensis	1249	1	FP		3840
717	Spectrogram 1	1	4009.600000000	4011.599000000	49.600	1000.000	SMA03320_20210319_171000.wav	Patagioenas_cayennensis	1243	1	FP		3960
737	Spectrogram 1	1	4067.600000000	4069.599000000	47.600	3500.000	SMA03320_20210319_183000.wav	Leptodactylus_fragilis	610	1	FP		4020
739	Spectrogram 1	1	4042.800000000	4044.799000000	22.800	3500.000	SMA03320_20210319_183000.wav	Leptodactylus_fragilis	598	1	FP		4020
740	Spectrogram 1	1	4055.200000000	4057.599000000	35.200	3500.000	SMA03320_20210319_183000.wav	Leptodactylus_fragilis	604	1	FP		4020
746	Spectrogram 1	1	4050.000000000	4052.399000000	30.000	3500.000	SMA03320_20210319_183000.wav	Leptodactylus_fragilis	602	1	FP		4020
778	Spectrogram 1	1	4207.200000000	4209.199000000	7.200	3500.000	SMA03320_20210325_191000.wav	Leptodactylus_fragilis	666	1	FP		4200
836	Spectrogram 1	1	4336.000000000	4337.999000000	16.000	3500.000	SMA03320_20210327_195000.wav	Leptodactylus_fragilis	847	1	FP		4320
839	Spectrogram 1	1	4366.000000000	4368.399000000	46.000	3000.000	SMA03320_20210327_195000.wav	Leptodactylus_fuscus	927	1	FP		4320
854	Spectrogram 1	1	4442.000000000	4444.399000000	2.000	1000.000	SMA03320_20210328_065000.wav	Patagioenas_cayennensis	1284	1	FP		4440
