Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File	Specie ID	Original Index	review	type	Reason	offset
1089	Spectrogram 1	1	6300.000000000	6302.399000000	0.000	3000.000	SMA03126_20210323_050000.wav	Leptodactylus_fuscus	1088	0			6300
1090	Spectrogram 1	1	6308.800000000	6310.799000000	8.800	3000.000	SMA03126_20210323_050000.wav	Leptodactylus_fuscus	1089	0			6300
1091	Spectrogram 1	1	6334.800000000	6336.799000000	34.800	3000.000	SMA03126_20210323_050000.wav	Leptodactylus_fuscus	1090	0			6300
1092	Spectrogram 1	1	6336.800000000	6338.799000000	36.800	3000.000	SMA03126_20210323_050000.wav	Leptodactylus_fuscus	1091	0			6300
1093	Spectrogram 1	1	6350.400000000	6352.399000000	50.400	3000.000	SMA03126_20210323_050000.wav	Leptodactylus_fuscus	1092	0			6300
1094	Spectrogram 1	1	6355.200000000	6357.199000000	55.200	3000.000	SMA03126_20210323_050000.wav	Leptodactylus_fuscus	1093	0			6300
1067	Spectrogram 1	1	6131.200000000	6133.199000000	11.200	3000.000	SMA03126_20210323_051000.wav	Leptodactylus_fuscus	1066	0			6120
1068	Spectrogram 1	1	6142.800000000	6145.199000000	22.800	3000.000	SMA03126_20210323_051000.wav	Leptodactylus_fuscus	1067	0			6120
1069	Spectrogram 1	1	6162.000000000	6164.399000000	42.000	3000.000	SMA03126_20210323_051000.wav	Leptodactylus_fuscus	1068	0			6120
987	Spectrogram 1	1	5589.200000000	5591.199000000	9.200	3000.000	SMA03126_20210323_195000.wav	Leptodactylus_fuscus	986	0			5580
988	Spectrogram 1	1	5591.600000000	5593.599000000	11.600	3000.000	SMA03126_20210323_195000.wav	Leptodactylus_fuscus	987	0			5580
989	Spectrogram 1	1	5609.200000000	5611.199000000	29.200	3000.000	SMA03126_20210323_195000.wav	Leptodactylus_fuscus	988	0			5580
990	Spectrogram 1	1	5633.600000000	5635.999000000	53.600	3000.000	SMA03126_20210323_195000.wav	Leptodactylus_fuscus	989	1	TP	Overlapping	5580
1044	Spectrogram 1	1	6004.000000000	6005.999000000	4.000	3000.000	SMA03126_20210323_200000.wav	Leptodactylus_fuscus	1043	0			6000
1045	Spectrogram 1	1	6007.600000000	6009.599000000	7.600	3000.000	SMA03126_20210323_200000.wav	Leptodactylus_fuscus	1044	0			6000
1046	Spectrogram 1	1	6010.800000000	6012.799000000	10.800	3000.000	SMA03126_20210323_200000.wav	Leptodactylus_fuscus	1045	0			6000
1047	Spectrogram 1	1	6011.600000000	6013.599000000	11.600	3000.000	SMA03126_20210323_200000.wav	Leptodactylus_fuscus	1046	0			6000
1048	Spectrogram 1	1	6014.800000000	6016.799000000	14.800	3000.000	SMA03126_20210323_200000.wav	Leptodactylus_fuscus	1047	0			6000
1049	Spectrogram 1	1	6015.600000000	6017.599000000	15.600	3000.000	SMA03126_20210323_200000.wav	Leptodactylus_fuscus	1048	0			6000
