Selection	View	Channel	Specie ID	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	review
1	Spectrogram 1	1	DDPX	0.4	2.3990000000000022	0.4	3100	1
2	Spectrogram 1	1	DDPX	8.0	9.998999999999995	8.0	3100	0
3	Spectrogram 1	1	DDPX	14.0	15.998999999999995	14.0	3100	0
4	Spectrogram 1	1	DDPX	20.0	22.799000000000007	20.0	3100	1
5	Spectrogram 1	1	DDPX	28.8	31.599000000000007	28.8	3100	1
6	Spectrogram 1	1	DDPX	42.0	43.998999999999995	42.0	3100	0
7	Spectrogram 1	1	DDPX	44.8	46.79900000000001	44.8	3100	0
8	Spectrogram 1	1	DDPX	45.6	47.59900000000001	45.6	3100	0
9	Spectrogram 1	1	DDPX	50.8	53.599000000000004	50.8	3100	1
10	Spectrogram 1	1	DDPX	55.6	57.59900000000001	55.6	3100	0
11	Spectrogram 1	1	DDPX	56.8	58.79900000000001	56.8	3100	0
