Selection	View	Channel	Specie ID	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Original Index	review
1	Spectrogram 1	1	Leptodactylus_fuscus	51.6	53.599000000000025	51.6	3000	1085	1
2	Spectrogram 1	1	Leptodactylus_fuscus	21.6	23.599000000000025	21.6	3000	1079	0
3	Spectrogram 1	1	Leptodactylus_fuscus	54.0	55.999000000000024	54.0	3000	1086	0
4	Spectrogram 1	1	Leptodactylus_fuscus	14.8	16.799000000000024	14.8	3000	1078	0
5	Spectrogram 1	1	Leptodactylus_fuscus	10.8	13.199000000000115	10.8	3000	1076	0
6	Spectrogram 1	1	Leptodactylus_fuscus	56.8	58.79900000000002	56.8	3000	1087	0
7	Spectrogram 1	1	Leptodactylus_fuscus	33.6	35.999000000000116	33.6	3000	1080	0
8	Spectrogram 1	1	Leptodactylus_fuscus	38.8	41.19900000000011	38.8	3000	1081	0
9	Spectrogram 1	1	Leptodactylus_fuscus	40.0	42.39899999999989	40.0	3000	1082	0
10	Spectrogram 1	1	Leptodactylus_fuscus	45.2	47.19900000000003	45.2	3000	1083	0
11	Spectrogram 1	1	Leptodactylus_fuscus	47.2	49.19900000000003	47.2	3000	1084	0
12	Spectrogram 1	1	Leptodactylus_fuscus	12.0	14.398999999999887	12.0	3000	1077	0
