Selection	View	Channel	Specie ID	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Original Index	review
1	Spectrogram 1	1	Leptodactylus_fragilis	26.8	28.799000000000024	26.8	3500	800	0
2	Spectrogram 1	1	Leptodactylus_fragilis	16.4	18.398999999999795	16.4	3500	799	0
3	Spectrogram 1	1	Leptodactylus_fragilis	32.0	34.79899999999998	32.0	3500	801	0
4	Spectrogram 1	1	Leptodactylus_fragilis	8.4	10.398999999999797	8.4	3500	797	0
5	Spectrogram 1	1	Leptodactylus_fragilis	5.2	7.598999999999887	5.2	3500	796	0
6	Spectrogram 1	1	Leptodactylus_fragilis	34.0	35.999000000000024	34.0	3500	802	0
7	Spectrogram 1	1	Leptodactylus_fragilis	34.8	37.19900000000011	34.8	3500	803	0
8	Spectrogram 1	1	Leptodactylus_fragilis	36.0	37.999000000000024	36.0	3500	804	0
9	Spectrogram 1	1	Leptodactylus_fragilis	36.8	39.19900000000011	36.8	3500	805	0
10	Spectrogram 1	1	Leptodactylus_fragilis	48.8	50.79900000000002	48.8	3500	807	0
11	Spectrogram 1	1	Leptodactylus_fragilis	10.8	12.799000000000024	10.8	3500	798	1
12	Spectrogram 1	1	Leptodactylus_fragilis	47.2	49.19900000000003	47.2	3500	806	0
