Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File	Specie ID	Original Index	offset	review	type	Reason
944	Spectrogram 1	1	2386.229333333	2386.560000000	492.188	820.312	SMA03320_20210325_171000.wav	Patagioenas_cayennensis	7508	2340	0		
40	Spectrogram 1	1	33.696000000	33.866666667	2015.625	2765.625	SMA03126_20210611_200000.wav	Leptodactylus_fuscus	158	0	0		
588	Spectrogram 1	1	1544.565333333	1545.056000000	3960.938	5226.562	SMA03320_20210319_171000.wav	Leptodactylus_fuscus	5064	1500	0		
167	Spectrogram 1	1	135.082666667	135.306666667	281.250	2273.438	SMA03247_20210606_200000.wav	Boana_platanera	580	120	0		
236	Spectrogram 1	1	187.061333333	187.413333333	468.750	2273.438	SMA03294_20210603_193000.wav	Boana_platanera	836	180	0		
237	Spectrogram 1	1	189.226666667	189.525333333	257.812	1828.125	SMA03294_20210603_193000.wav	Boana_platanera	843	180	0		
238	Spectrogram 1	1	189.685333333	190.112000000	234.375	2273.438	SMA03294_20210603_193000.wav	Boana_platanera	847	180	0		
239	Spectrogram 1	1	190.720000000	191.434666667	234.375	2273.438	SMA03294_20210603_193000.wav	Boana_platanera	853	180	0		
424	Spectrogram 1	1	730.912000000	733.184000000	1078.125	6000.000	SMA03411_20210605_074000.wav	Crotophaga_ani	2581	720	0		
439	Spectrogram 1	1	814.261333333	817.226666667	1453.125	2929.688	SMA03210_20210320_054000.wav	Dendroplex_picus	2718	780	0		
46	Spectrogram 1	1	37.728000000	38.208000000	1781.250	3843.750	SMA03126_20210611_200000.wav	Leptodactylus_fuscus	180	0	0		
1077	Spectrogram 1	1	2504.448000000	2504.618666670	1359.375	2484.375	SMA03320_20210327_193000.wav	Leptodactylus_fuscus	8007	2460	0		
697	Spectrogram 1	1	1846.976000000	1847.125333333	2601.562	3023.438	SMA03297_20210603_193000.wav	Dendropsophus_microcephalus	5818	1800	1	FP	
1352	Spectrogram 1	1	3047.232000000	3047.733333333	867.188	2625.000	SMA03247_20210323_051000.wav	Nyctidromus_albicollis	9845	3000	1	FP	
1355	Spectrogram 1	1	3054.549333333	3055.125333333	914.062	2601.562	SMA03247_20210323_051000.wav	Nyctidromus_albicollis	9862	3000	1	FP	
442	Spectrogram 1	1	829.653333333	832.597333333	1898.438	2835.938	SMA03210_20210320_054000.wav	Dendroplex_picus	2762	780	1	FP	Only 3 songs
522	Spectrogram 1	1	1365.973333333	1368.277333333	609.375	3070.312	SMA03126_20210609_182000.wav	Dendroplex_picus	4620	1320	1	FP	Only 3 songs
596	Spectrogram 1	1	1584.373333333	1586.282666667	1710.938	2554.688	SMA03320_20210328_054000.wav	Dendroplex_picus	5152	1560	1	FP	Only 3 songs
403	Spectrogram 1	1	541.109333333	544.853333333	726.562	6492.188	SMA03251_20210608_062000.wav	Pitangus_sulphuratus	2192	540	1	FP	Segment  - Only 1 song
74	Spectrogram 1	1	57.109333333	57.290666667	1593.750	2015.625	SMA03126_20210611_200000.wav	Boana_platanera	273	0	1	FP	
77	Spectrogram 1	1	58.421333333	58.560000000	1546.875	2039.062	SMA03126_20210611_200000.wav	Boana_platanera	282	0	1	FP	
160	Spectrogram 1	1	128.224000000	128.373333333	1406.250	1898.438	SMA03247_20210606_200000.wav	Boana_platanera	547	120	1	FP	
194	Spectrogram 1	1	155.797333333	155.946666667	1101.562	1921.875	SMA03247_20210606_200000.wav	Boana_platanera	680	120	1	FP	
338	Spectrogram 1	1	353.994666667	354.400000000	1781.250	2320.312	SMA03126_20210609_163000.wav	Crotophaga_ani	1782	300	1	FP	
339	Spectrogram 1	1	356.704000000	357.226666667	1734.375	3070.312	SMA03126_20210609_163000.wav	Crotophaga_ani	1790	300	1	FP	
346	Spectrogram 1	1	437.024000000	437.482666667	1593.750	2273.438	SMA03175ICP_20210326_180000.wav	Crotophaga_ani	1908	420	1	FP	
420	Spectrogram 1	1	713.024000000	713.408000000	1265.625	2882.812	SMA03393_20210601_174000.wav	Crotophaga_ani	2556	660	1	FP	
423	Spectrogram 1	1	729.280000000	730.410666667	1054.688	6093.750	SMA03411_20210605_074000.wav	Crotophaga_ani	2580	720	1	FP	
440	Spectrogram 1	1	820.853333333	821.962666667	1828.125	2601.562	SMA03210_20210320_054000.wav	Crypturellus_soui	2735	780	1	FP	
441	Spectrogram 1	1	822.080000000	823.456000000	1757.812	2296.875	SMA03210_20210320_054000.wav	Crypturellus_soui	2740	780	1	FP	
511	Spectrogram 1	1	1229.173333333	1232.181333333	1523.438	2132.812	SMA03330_20210320_181000.wav	Crypturellus_soui	4273	1200	1	FP	
513	Spectrogram 1	1	1270.880000000	1272.714666667	1640.625	2226.562	SMA03332_20210325_182000.wav	Crypturellus_soui	4415	1260	1	FP	
624	Spectrogram 1	1	1737.973333333	1738.368000000	4171.875	5835.938	SMA03247_20210324_172000.wav	Dendropsophus_microcephalus	5443	1680	1	FP	
676	Spectrogram 1	1	1816.778666667	1816.938666667	2414.062	3375.000	SMA03297_20210603_193000.wav	Dendropsophus_microcephalus	5753	1800	1	FP	
719	Spectrogram 1	1	1889.504000000	1889.674666667	2531.250	3000.000	SMA03297_20210603_200000.wav	Dendropsophus_microcephalus	5931	1860	1	FP	
727	Spectrogram 1	1	1912.352000000	1912.501333333	2484.375	3023.438	SMA03297_20210603_200000.wav	Dendropsophus_microcephalus	5984	1860	1	FP	
664	Spectrogram 1	1	1806.592000000	1806.784000000	820.312	1312.500	SMA03297_20210603_193000.wav	Leptodactylus_fragilis	5725	1800	1	FP	
1156	Spectrogram 1	1	2587.861333333	2588.106666667	843.750	3140.625	SMA03326_20210325_190000.wav	Leptodactylus_fragilis	8218	2580	1	FP	
43	Spectrogram 1	1	36.160000000	36.501333333	1570.312	3093.750	SMA03126_20210611_200000.wav	Leptodactylus_fuscus	170	0	1	FP	
632	Spectrogram 1	1	1764.128000000	1764.288000000	2203.125	3140.625	SMA03294_20210607_181000.wav	Leptodactylus_fuscus	5568	1740	1	FP	
789	Spectrogram 1	1	2001.290666670	2001.429333330	1828.125	2437.500	SMA03320_20210319_183000.wav	Leptodactylus_fuscus	6252	1980	1	FP	
841	Spectrogram 1	1	2030.656000000	2030.944000000	1031.250	2601.562	SMA03320_20210319_183000.wav	Leptodactylus_fuscus	6390	1980	1	FP	
850	Spectrogram 1	1	2035.541333330	2035.754666670	1687.500	2648.438	SMA03320_20210319_183000.wav	Leptodactylus_fuscus	6408	1980	1	FP	
918	Spectrogram 1	1	2208.106666667	2208.224000000	1171.875	2203.125	SMA03286_20210318_180000.wav	Leptodactylus_fuscus	6714	2160	1	FP	
985	Spectrogram 1	1	2426.485333330	2426.666666670	1570.312	2695.312	SMA03320_20210325_191000.wav	Leptodactylus_fuscus	7676	2400	1	FP	
1083	Spectrogram 1	1	2508.885333330	2509.141333330	1195.312	2742.188	SMA03320_20210327_193000.wav	Leptodactylus_fuscus	8026	2460	1	FP	
434	Spectrogram 1	1	781.962666667	782.656000000	890.625	2882.812	SMA03210_20210320_054000.wav	Nyctidromus_albicollis	2649	780	1	FP	
1170	Spectrogram 1	1	2701.653333333	2702.378666667	1031.250	2671.875	SMA03251_20210324_051000.wav	Nyctidromus_albicollis	8677	2700	1	FP	
1379	Spectrogram 1	1	3132.885333333	3133.216000000	1546.875	2601.562	SMA03251_20210326_200000.wav	Nyctidromus_albicollis	10140	3120	1	FP	
1381	Spectrogram 1	1	3134.538666667	3135.061333333	1242.188	2531.250	SMA03251_20210326_200000.wav	Nyctidromus_albicollis	10150	3120	1	FP	
1383	Spectrogram 1	1	3138.901333333	3139.509333333	1242.188	2601.562	SMA03251_20210326_200000.wav	Nyctidromus_albicollis	10166	3120	1	FP	
1384	Spectrogram 1	1	3142.762666667	3143.456000000	1218.750	2460.938	SMA03251_20210326_200000.wav	Nyctidromus_albicollis	10192	3120	1	FP	
1406	Spectrogram 1	1	3250.485333333	3250.986666667	1171.875	2437.500	SMA03328_20210323_200000.wav	Nyctidromus_albicollis	10566	3240	1	FP	
1424	Spectrogram 1	1	3279.733333333	3280.021333333	1335.938	2835.938	SMA03328_20210323_200000.wav	Nyctidromus_albicollis	10745	3240	1	FP	
1430	Spectrogram 1	1	3294.165333333	3294.474666667	1054.688	2203.125	SMA03328_20210323_200000.wav	Nyctidromus_albicollis	10816	3240	1	FP	
415	Spectrogram 1	1	643.488000000	644.192000000	562.500	1851.562	SMA03326_20210612_071000.wav	Ortalis_ruficauda	2420	600	1	FP	
433	Spectrogram 1	1	779.392000000	779.925333333	1804.688	2671.875	SMA03411_20210605_074000.wav	Pitangus_sulphuratus	2640	720	1	FP	
404	Spectrogram 1	1	580.896000000	581.568000000	1781.250	4570.312	SMA03251_20210608_062000.wav	Troglodytes_aedon	2307	540	1	FP	
73	Spectrogram 1	1	56.682666667	56.853333333	1570.312	2250.000	SMA03126_20210611_200000.wav	Boana_platanera	269	0	1	TP	Intensity
331	Spectrogram 1	1	306.613333333	307.008000000	1687.500	2226.562	SMA03126_20210609_163000.wav	Crotophaga_ani	1665	300	1	TP	Intensity
332	Spectrogram 1	1	308.736000000	309.120000000	1757.812	2273.438	SMA03126_20210609_163000.wav	Crotophaga_ani	1670	300	1	TP	Intensity
333	Spectrogram 1	1	311.434666667	311.818666667	1828.125	2273.438	SMA03126_20210609_163000.wav	Crotophaga_ani	1676	300	1	TP	Intensity
334	Spectrogram 1	1	315.050666667	315.552000000	1804.688	2414.062	SMA03126_20210609_163000.wav	Crotophaga_ani	1687	300	1	TP	Intensity
335	Spectrogram 1	1	317.226666667	317.504000000	1875.000	2250.000	SMA03126_20210609_163000.wav	Crotophaga_ani	1694	300	1	TP	Intensity
336	Spectrogram 1	1	325.056000000	325.418666667	1804.688	2109.375	SMA03126_20210609_163000.wav	Crotophaga_ani	1702	300	1	TP	Intensity
337	Spectrogram 1	1	327.338666667	327.776000000	1476.562	2179.688	SMA03126_20210609_163000.wav	Crotophaga_ani	1709	300	1	TP	Intensity
487	Spectrogram 1	1	1036.480000000	1037.589333333	1101.562	2015.625	SMA03286_20210603_180000.wav	Crypturellus_soui	3410	1020	1	TP	Intensity
488	Spectrogram 1	1	1047.914666667	1049.120000000	1664.062	2039.062	SMA03286_20210603_180000.wav	Crypturellus_soui	3495	1020	1	TP	Intensity
501	Spectrogram 1	1	1151.317333333	1152.864000000	1429.688	3093.750	SMA03326_20210611_175000.wav	Crypturellus_soui	3845	1140	1	TP	Intensity
939	Spectrogram 1	1	2316.586666667	2316.768000000	1429.688	2062.500	SMA03294_20210324_050000.wav	Leptodactylus_fragilis	7311	2280	1	TP	Intensity
940	Spectrogram 1	1	2318.666666667	2318.826666667	1476.562	1945.312	SMA03294_20210324_050000.wav	Leptodactylus_fragilis	7317	2280	1	TP	Intensity
941	Spectrogram 1	1	2320.416000000	2320.608000000	1429.688	1945.312	SMA03294_20210324_050000.wav	Leptodactylus_fragilis	7325	2280	1	TP	Intensity
911	Spectrogram 1	1	2200.853333333	2200.992000000	1406.250	2367.188	SMA03286_20210318_180000.wav	Leptodactylus_fuscus	6694	2160	1	TP	Intensity
917	Spectrogram 1	1	2207.594666667	2207.712000000	1218.750	2320.312	SMA03286_20210318_180000.wav	Leptodactylus_fuscus	6713	2160	1	TP	Intensity
1361	Spectrogram 1	1	3074.080000000	3074.229333333	1265.625	1781.250	SMA03251_20210323_185000.wav	Nyctidromus_albicollis	9913	3060	1	TP	Intensity
1363	Spectrogram 1	1	3078.336000000	3078.506666667	1218.750	1687.500	SMA03251_20210323_185000.wav	Nyctidromus_albicollis	9922	3060	1	TP	Intensity
1370	Spectrogram 1	1	3114.005333333	3114.154666667	1289.062	1710.938	SMA03251_20210323_185000.wav	Nyctidromus_albicollis	10028	3060	1	TP	Intensity
1380	Spectrogram 1	1	3133.834666667	3134.176000000	1406.250	2765.625	SMA03251_20210326_200000.wav	Nyctidromus_albicollis	10143	3120	1	TP	Intensity
1382	Spectrogram 1	1	3137.152000000	3137.589333333	1429.688	3070.312	SMA03251_20210326_200000.wav	Nyctidromus_albicollis	10162	3120	1	TP	Intensity
455	Spectrogram 1	1	874.549333333	874.912000000	398.438	796.875	SMA03210_20210321_171000.wav	Patagioenas_cayennensis	2888	840	1	TP	Intensity
421	Spectrogram 1	1	720.234666667	720.832000000	1898.438	2554.688	SMA03411_20210605_074000.wav	Pitangus_sulphuratus	2570	720	1	TP	Intensity
422	Spectrogram 1	1	726.506666667	726.890666667	2039.062	2554.688	SMA03411_20210605_074000.wav	Pitangus_sulphuratus	2578	720	1	TP	Intensity
428	Spectrogram 1	1	761.781333333	762.229333333	2179.688	2601.562	SMA03411_20210605_074000.wav	Pitangus_sulphuratus	2612	720	1	TP	Intensity
431	Spectrogram 1	1	772.544000000	773.002666667	1804.688	2601.562	SMA03411_20210605_074000.wav	Pitangus_sulphuratus	2629	720	1	TP	Intensity
67	Spectrogram 1	1	52.277333333	52.405333333	1500.000	2062.500	SMA03126_20210611_200000.wav	Boana_platanera	247	0	1	TP	Overlapping
317	Spectrogram 1	1	276.650666667	276.800000000	1289.062	2273.438	SMA03393_20210609_200000.wav	Boana_platanera	1577	240	1	TP	Overlapping
436	Spectrogram 1	1	798.538666667	802.144000000	1664.062	2812.500	SMA03210_20210320_054000.wav	Crypturellus_soui	2684	780	1	TP	Overlapping
486	Spectrogram 1	1	1019.104000000	1019.989333333	1687.500	2812.500	SMA03247_20210603_180000.wav	Crypturellus_soui	3322	960	1	TP	Overlapping
494	Spectrogram 1	1	1102.922666667	1104.896000000	1664.062	2859.375	SMA03286_20210605_053000.wav	Crypturellus_soui	3724	1080	1	TP	Overlapping
496	Spectrogram 1	1	1118.325333333	1120.362666667	1242.188	2320.312	SMA03286_20210605_053000.wav	Crypturellus_soui	3753	1080	1	TP	Overlapping
509	Spectrogram 1	1	1218.752000000	1219.680000000	1218.750	2039.062	SMA03330_20210320_181000.wav	Crypturellus_soui	4241	1200	1	TP	Overlapping
515	Spectrogram 1	1	1299.082666667	1300.501333333	1078.125	2812.500	SMA03332_20210325_182000.wav	Crypturellus_soui	4483	1260	1	TP	Overlapping
435	Spectrogram 1	1	786.368000000	789.770666667	1617.188	2953.125	SMA03210_20210320_054000.wav	Dendroplex_picus	2656	780	1	TP	Overlapping
551	Spectrogram 1	1	1487.733333333	1488.405333333	1195.312	2484.375	SMA03297_20210605_061000.wav	Dendroplex_picus	4925	1440	1	TP	Overlapping
53	Spectrogram 1	1	43.317333333	43.594666667	1546.875	2765.625	SMA03126_20210611_200000.wav	Leptodactylus_fuscus	210	0	1	TP	Overlapping
915	Spectrogram 1	1	2205.514666667	2205.877333333	796.875	2390.625	SMA03286_20210318_180000.wav	Leptodactylus_fuscus	6710	2160	1	TP	Overlapping
1048	Spectrogram 1	1	2472.533333330	2472.778666670	1265.625	2578.125	SMA03320_20210327_193000.wav	Leptodactylus_fuscus	7897	2460	1	TP	Overlapping
1058	Spectrogram 1	1	2485.813333330	2486.005333330	1359.375	2507.812	SMA03320_20210327_193000.wav	Leptodactylus_fuscus	7942	2460	1	TP	Overlapping
1435	Spectrogram 1	1	3300.458666667	3300.693333333	1335.938	2132.812	SMA03330_20210323_190000.wav	Nyctidromus_albicollis	10866	3300	1	TP	Overlapping
412	Spectrogram 1	1	633.408000000	634.688000000	515.625	1500.000	SMA03326_20210612_071000.wav	Ortalis_ruficauda	2406	600	1	TP	Overlapping
417	Spectrogram 1	1	656.693333333	658.282666667	562.500	1476.562	SMA03326_20210612_071000.wav	Ortalis_ruficauda	2427	600	1	TP	Overlapping
410	Spectrogram 1	1	630.848000000	631.968000000	492.188	1289.062	SMA03326_20210612_071000.wav	Patagioenas_cayennensis	2402	600	1	TP	Overlapping
411	Spectrogram 1	1	632.373333333	633.088000000	492.188	1195.312	SMA03326_20210612_071000.wav	Patagioenas_cayennensis	2405	600	1	TP	Overlapping
544	Spectrogram 1	1	1417.728000000	1419.210666667	703.125	6328.125	SMA03251_20210605_053000.wav	Troglodytes_aedon	4810	1380	1	TP	Overlapping
470	Spectrogram 1	1	913.568000000	913.962666667	398.438	1007.812	SMA03247_20210325_055000.wav	Alouatta_sp	2993	900	1	TP	Segment
597	Spectrogram 1	1	1602.784000000	1604.074666667	304.688	632.812	SMA03320_20210328_054000.wav	Alouatta_sp	5195	1560	1	TP	Segment
1311	Spectrogram 1	1	2930.848000000	2931.210666667	1476.562	3046.875	SMA03322_20210604_061000.wav	Amazona_amazonica	9386	2880	1	TP	Segment
1312	Spectrogram 1	1	2932.298666667	2932.640000000	984.375	3000.000	SMA03322_20210604_061000.wav	Amazona_amazonica	9390	2880	1	TP	Segment
1313	Spectrogram 1	1	2932.928000000	2934.378666667	914.062	3187.500	SMA03322_20210604_061000.wav	Amazona_amazonica	9392	2880	1	TP	Segment
131	Spectrogram 1	1	102.698666667	102.986666667	1500.000	1804.688	SMA03247_20210605_200000.wav	Boana_platanera	446	60	1	TP	Segment
156	Spectrogram 1	1	123.765333333	123.936000000	1054.688	1921.875	SMA03247_20210606_200000.wav	Boana_platanera	528	120	1	TP	Segment
190	Spectrogram 1	1	153.770666667	153.984000000	867.188	1921.875	SMA03247_20210606_200000.wav	Boana_platanera	668	120	1	TP	Segment
196	Spectrogram 1	1	157.045333333	157.749333333	1054.688	1968.750	SMA03247_20210606_200000.wav	Boana_platanera	685	120	1	TP	Segment
235	Spectrogram 1	1	186.389333333	186.720000000	1218.750	2132.812	SMA03294_20210603_193000.wav	Boana_platanera	835	180	1	TP	Segment
251	Spectrogram 1	1	201.984000000	202.421333333	1171.875	2273.438	SMA03294_20210603_193000.wav	Boana_platanera	932	180	1	TP	Segment
343	Spectrogram 1	1	401.973333333	402.570666667	2437.500	3468.750	SMA03126_20210611_175000.wav	Crotophaga_ani	1874	360	1	TP	Segment
344	Spectrogram 1	1	405.024000000	405.258666667	2859.375	3515.625	SMA03126_20210611_175000.wav	Crotophaga_ani	1876	360	1	TP	Segment
347	Spectrogram 1	1	437.962666667	438.144000000	1687.500	2507.812	SMA03175ICP_20210326_180000.wav	Crotophaga_ani	1911	420	1	TP	Segment
348	Spectrogram 1	1	463.744000000	463.914666667	1406.250	1734.375	SMA03175ICP_20210326_180000.wav	Crotophaga_ani	1973	420	1	TP	Segment
349	Spectrogram 1	1	464.725333333	464.981333333	1476.562	1828.125	SMA03175ICP_20210326_180000.wav	Crotophaga_ani	1976	420	1	TP	Segment
408	Spectrogram 1	1	620.277333333	622.048000000	867.188	2390.625	SMA03326_20210612_071000.wav	Crotophaga_ani	2391	600	1	TP	Segment
426	Spectrogram 1	1	749.984000000	750.656000000	3468.750	5789.062	SMA03411_20210605_074000.wav	Crotophaga_ani	2601	720	1	TP	Segment
508	Spectrogram 1	1	1213.578666667	1214.048000000	1710.938	2062.500	SMA03330_20210320_181000.wav	Crypturellus_soui	4223	1200	1	TP	Segment
516	Spectrogram 1	1	1308.042666667	1308.544000000	1500.000	2132.812	SMA03332_20210325_182000.wav	Crypturellus_soui	4508	1260	1	TP	Segment
517	Spectrogram 1	1	1308.725333333	1309.376000000	1546.875	2132.812	SMA03332_20210325_182000.wav	Crypturellus_soui	4511	1260	1	TP	Segment
480	Spectrogram 1	1	932.704000000	933.418666667	3656.250	6117.188	SMA03247_20210325_055000.wav	Dendropsophus_microcephalus	3023	900	1	TP	Segment
709	Spectrogram 1	1	1861.045333333	1861.386666667	2273.438	3539.062	SMA03297_20210603_200000.wav	Dendropsophus_microcephalus	5858	1860	1	TP	Segment
714	Spectrogram 1	1	1868.896000000	1869.344000000	2507.812	3726.562	SMA03297_20210603_200000.wav	Dendropsophus_microcephalus	5890	1860	1	TP	Segment
