Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File	Specie ID	Original Index	offset	review	type	Reason
186	Spectrogram 1	1	184.121541950	185.166439909	6481.494	10637.402	JAGUAS253_20121114_083107.wav	Basileuterus sp	414	180	0		
190	Spectrogram 1	1	188.324353741	189.798820862	5835.498	10443.604	JAGUAS253_20121114_083107.wav	Basileuterus sp	425	180	0		
191	Spectrogram 1	1	192.979954649	194.106122449	6503.027	10615.869	JAGUAS253_20121114_083107.wav	Basileuterus sp	433	180	0		
194	Spectrogram 1	1	200.166530612	201.861587302	5770.898	10551.270	JAGUAS253_20121114_083107.wav	Basileuterus sp	452	180	0		
198	Spectrogram 1	1	204.868571429	206.517188209	6438.428	10529.736	JAGUAS253_20121114_083107.wav	Basileuterus sp	462	180	0		
200	Spectrogram 1	1	209.419682540	211.254058957	6481.494	10702.002	JAGUAS253_20121114_083107.wav	Basileuterus sp	468	180	0		
202	Spectrogram 1	1	213.738594104	215.619410431	6481.494	10680.469	JAGUAS253_20121114_083107.wav	Basileuterus sp	471	180	0		
204	Spectrogram 1	1	218.870204082	220.623310658	5749.365	10745.068	JAGUAS253_20121114_083107.wav	Basileuterus sp	477	180	0		
207	Spectrogram 1	1	224.501043084	225.093151927	6524.561	9991.406	JAGUAS253_20121114_083107.wav	Basileuterus sp	493	180	0		
208	Spectrogram 1	1	227.995646259	228.912834467	7041.357	10508.203	JAGUAS253_20121114_083107.wav	Basileuterus sp	500	180	0		
209	Spectrogram 1	1	228.982494331	230.108662132	6459.961	9883.740	JAGUAS253_20121114_083107.wav	Basileuterus sp	502	180	0		
255	Spectrogram 1	1	311.760907029	312.678095238	3100.781	6180.029	JAGUAS253_20121114_102107.wav	Call bird 1	644	300	0		
256	Spectrogram 1	1	314.048072562	314.605351474	2906.982	6459.961	JAGUAS253_20121114_102107.wav	Call bird 1	647	300	0		
258	Spectrogram 1	1	316.950566893	317.426575964	3165.381	6158.496	JAGUAS253_20121114_102107.wav	Call bird 1	651	300	0		
259	Spectrogram 1	1	320.677369615	321.141768707	3165.381	6266.162	JAGUAS253_20121114_102107.wav	Call bird 1	660	300	0		
260	Spectrogram 1	1	322.581405896	323.010975057	3143.848	6223.096	JAGUAS253_20121114_102107.wav	Call bird 1	661	300	0		
261	Spectrogram 1	1	324.462222222	324.880181406	3186.914	6093.896	JAGUAS253_20121114_102107.wav	Call bird 1	663	300	0		
262	Spectrogram 1	1	325.785759637	326.226938776	3100.781	6223.096	JAGUAS253_20121114_102107.wav	Call bird 1	664	300	0		
264	Spectrogram 1	1	329.559002268	330.302040816	3208.447	6223.096	JAGUAS253_20121114_102107.wav	Call bird 1	669	300	0		
265	Spectrogram 1	1	333.935963719	334.249433107	3229.980	6223.096	JAGUAS253_20121114_102107.wav	Call bird 1	678	300	0		
266	Spectrogram 1	1	336.048979592	336.559818594	3165.381	6136.963	JAGUAS253_20121114_102107.wav	Call bird 1	679	300	0		
267	Spectrogram 1	1	338.011065760	338.347755102	3229.980	6352.295	JAGUAS253_20121114_102107.wav	Call bird 1	681	300	0		
269	Spectrogram 1	1	339.531972789	339.868662132	3617.578	6524.561	JAGUAS253_20121114_102107.wav	Call bird 1	685	300	0		
271	Spectrogram 1	1	341.319909297	341.726258503	3316.113	6330.762	JAGUAS253_20121114_102107.wav	Call bird 1	690	300	0		
272	Spectrogram 1	1	342.643446712	343.049795918	3057.715	6266.162	JAGUAS253_20121114_102107.wav	Call bird 1	692	300	0		
273	Spectrogram 1	1	344.222403628	344.826122449	3014.648	6093.896	JAGUAS253_20121114_102107.wav	Call bird 1	694	300	0		
275	Spectrogram 1	1	347.496417234	348.076916100	3100.781	6352.295	JAGUAS253_20121114_102107.wav	Call bird 1	702	300	0		
276	Spectrogram 1	1	350.364081633	350.747210884	3273.047	6266.162	JAGUAS253_20121114_102107.wav	Call bird 1	704	300	0		
