Selection	View	Channel	Specie ID	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	review
1	Spectrogram 1	1	Hyloxalus	1.555736961451247	2.089795918367347	4198.974609375	5038.76953125	0
2	Spectrogram 1	1	Basileuterus sp	4.121541950113379	5.166439909297052	6481.494140625	10637.40234375	0
3	Spectrogram 1	1	Hyloxalus	6.965986394557823	7.383945578231293	4220.5078125	4952.63671875	0
4	Spectrogram 1	1	Hyloxalus	7.430385487528345	7.883174603174603	4198.974609375	4974.169921875	0
5	Spectrogram 1	1	Hyloxalus	7.9760544217687075	8.394013605442177	4263.57421875	4974.169921875	0
6	Spectrogram 1	1	Basileuterus sp	8.324353741496598	9.798820861678005	5835.498046875	10443.603515625	0
7	Spectrogram 1	1	Basileuterus sp	12.979954648526077	14.106122448979592	6503.02734375	10615.869140625	1
8	Spectrogram 1	1	Sing bird 1	15.568979591836735	16.99700680272109	2260.986328125	5447.900390625	0
9	Spectrogram 1	1	Hyloxalus	19.736961451247165	20.120090702947845	4177.44140625	4974.169921875	0
10	Spectrogram 1	1	Basileuterus sp	20.166530612244898	21.861587301587303	5770.8984375	10551.26953125	0
11	Spectrogram 1	1	Hyloxalus	22.836825396825397	23.208344671201814	4112.841796875	4952.63671875	0
12	Spectrogram 1	1	Hyloxalus	23.289614512471655	23.672743764172335	4048.2421875	5469.43359375	1
13	Spectrogram 1	1	Sing bird 1	24.264852607709752	24.94984126984127	2282.51953125	5447.900390625	0
14	Spectrogram 1	1	Basileuterus sp	24.86857142857143	26.51718820861678	6438.427734375	10529.736328125	0
15	Spectrogram 1	1	Sing bird 1	27.898775510204082	28.54893424036281	1098.193359375	5534.033203125	0
16	Spectrogram 1	1	Basileuterus sp	29.41968253968254	31.2540589569161	6481.494140625	10702.001953125	0
17	Spectrogram 1	1	Sing bird 1	32.33378684807256	33.065215419501136	1550.390625	4801.904296875	1
18	Spectrogram 1	1	Basileuterus sp	33.73859410430839	35.619410430839004	6481.494140625	10680.46875	0
19	Spectrogram 1	1	Sing bird 1	35.64263038548753	36.327619047619045	2131.787109375	5146.435546875	0
20	Spectrogram 1	1	Basileuterus sp	38.87020408163265	40.62331065759637	5749.365234375	10745.068359375	0
21	Spectrogram 1	1	Sing bird 1	39.47392290249433	40.24018140589569	2347.119140625	5340.234375	1
22	Spectrogram 1	1	Sing bird 1	42.72471655328798	43.32843537414966	2196.38671875	5297.16796875	0
23	Spectrogram 1	1	Basileuterus sp	44.50104308390023	45.09315192743764	6524.560546875	9991.40625	0
24	Spectrogram 1	1	Basileuterus sp	47.9956462585034	48.912834467120184	7041.357421875	10508.203125	0
25	Spectrogram 1	1	Basileuterus sp	48.98249433106576	50.108662131519274	6459.9609375	9883.740234375	0
26	Spectrogram 1	1	Sing bird 1	49.89968253968254	50.51501133786848	2325.5859375	5254.1015625	0
27	Spectrogram 1	1	Basileuterus sp	52.41904761904762	53.91673469387755	1528.857421875	10809.66796875	1
28	Spectrogram 1	1	Sing bird 1	55.855600907029476	56.79600907029479	2304.052734375	5146.435546875	0
29	Spectrogram 1	1	Sing bird 1	59.44308390022676	59.98875283446712	1141.259765625	5017.236328125	0
