Selection	View	Channel	Specie ID	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Original Index	review
1	Spectrogram 1	1	Henicorhina leucosticta	5.479909297052155	6.048798185941043	1787.255859375	3402.24609375	639	0
2	Spectrogram 1	1	Henicorhina leucosticta	9.125442176870749	9.531791383219955	1873.388671875	3359.1796875	642	0
3	Spectrogram 1	1	Call bird 1	11.760907029478458	12.678095238095239	3100.78125	6180.029296875	644	0
4	Spectrogram 1	1	Call bird 1	14.048072562358277	14.605351473922903	2906.982421875	6459.9609375	647	0
5	Spectrogram 1	1	Henicorhina leucosticta	14.535691609977324	15.011700680272108	1830.322265625	3940.576171875	649	0
6	Spectrogram 1	1	Call bird 1	16.950566893424035	17.426575963718822	3165.380859375	6158.49609375	651	0
7	Spectrogram 1	1	Call bird 1	20.67736961451247	21.141768707482992	3165.380859375	6266.162109375	660	0
8	Spectrogram 1	1	Call bird 1	22.58140589569161	23.010975056689343	3143.84765625	6223.095703125	661	0
9	Spectrogram 1	1	Call bird 1	24.462222222222223	24.88018140589569	3186.9140625	6093.896484375	663	0
10	Spectrogram 1	1	Call bird 1	25.78575963718821	26.226938775510202	3100.78125	6223.095703125	664	0
11	Spectrogram 1	1	Saltator maximus	26.284988662131518	26.760997732426304	6072.36328125	6976.7578125	665	0
12	Spectrogram 1	1	Call bird 1	29.559002267573696	30.30204081632653	3208.447265625	6223.095703125	669	0
13	Spectrogram 1	1	Call bird 1	33.935963718820865	34.249433106575964	3229.98046875	6223.095703125	678	0
14	Spectrogram 1	1	Call bird 1	36.04897959183673	36.55981859410431	3165.380859375	6136.962890625	679	0
15	Spectrogram 1	1	Call bird 1	38.01106575963719	38.347755102040814	3229.98046875	6352.294921875	681	0
16	Spectrogram 1	1	Saltator maximus	38.951473922902494	39.450702947845805	6093.896484375	7536.62109375	682	0
17	Spectrogram 1	1	Call bird 1	39.53197278911565	39.86866213151927	3617.578125	6524.560546875	685	0
18	Spectrogram 1	1	Henicorhina leucosticta	39.54358276643991	39.938321995464854	1442.724609375	3531.4453125	686	0
19	Spectrogram 1	1	Call bird 1	41.319909297052156	41.72625850340136	3316.11328125	6330.76171875	690	0
20	Spectrogram 1	1	Call bird 1	42.64344671201814	43.049795918367344	3057.71484375	6266.162109375	692	0
21	Spectrogram 1	1	Call bird 1	44.22240362811792	44.82612244897959	3014.6484375	6093.896484375	694	0
22	Spectrogram 1	1	Henicorhina leucosticta	45.61560090702948	45.9871201814059	1464.2578125	3337.646484375	698	0
23	Spectrogram 1	1	Call bird 1	47.49641723356009	48.07691609977324	3100.78125	6352.294921875	702	0
24	Spectrogram 1	1	Call bird 1	50.36408163265306	50.74721088435374	3273.046875	6266.162109375	704	0
25	Spectrogram 1	1	Saltator maximus	51.57151927437642	52.03591836734694	6201.5625	7213.623046875	707	0
26	Spectrogram 1	1	Call bird 1	52.511927437641724	53.2433560090703	3122.314453125	7773.486328125	708	0
27	Spectrogram 1	1	Henicorhina leucosticta	54.114104308390026	54.50884353741497	1442.724609375	3940.576171875	710	0
28	Spectrogram 1	1	Call bird 1	55.22866213151927	55.5653514739229	2906.982421875	6632.2265625	711	0
29	Spectrogram 1	1	Call bird 1	56.563809523809525	56.97015873015873	3229.98046875	6330.76171875	712	0
30	Spectrogram 1	1	Saltator maximus	58.10793650793651	58.525895691609975	6309.228515625	7105.95703125	713	0
31	Spectrogram 1	1	Call bird 1	58.10793650793651	58.6768253968254	2971.58203125	6266.162109375	714	0
